2024-10-24T13:31:11.310088339Z I1024 13:31:11.309814       1 cmd.go:91] &{<nil> true {false} installer true map[cert-configmaps:0xc000a35cc0 cert-dir:0xc000a35ea0 cert-secrets:0xc000a35c20 configmaps:0xc000a357c0 namespace:0xc000a355e0 pod:0xc000a35680 pod-manifest-dir:0xc000a35a40 resource-dir:0xc000a359a0 revision:0xc000a35540 secrets:0xc000a35720 v:0xc000a345a0] [0xc000a345a0 0xc000a35540 0xc000a355e0 0xc000a35680 0xc000a359a0 0xc000a35a40 0xc000a357c0 0xc000a35720 0xc000a35ea0 0xc000a35cc0 0xc000a35c20] [] map[cert-configmaps:0xc000a35cc0 cert-dir:0xc000a35ea0 cert-secrets:0xc000a35c20 configmaps:0xc000a357c0 help:0xc00013b680 kubeconfig:0xc000a354a0 log-flush-frequency:0xc000a34500 namespace:0xc000a355e0 optional-cert-configmaps:0xc000a35e00 optional-cert-secrets:0xc000a35d60 optional-configmaps:0xc000a35900 optional-secrets:0xc000a35860 pod:0xc000a35680 pod-manifest-dir:0xc000a35a40 pod-manifests-lock-file:0xc000a35b80 resource-dir:0xc000a359a0 revision:0xc000a35540 secrets:0xc000a35720 timeout-duration:0xc000a35ae0 v:0xc000a345a0 vmodule:0xc000a34640] [0xc000a354a0 0xc000a35540 0xc000a355e0 0xc000a35680 0xc000a35720 0xc000a357c0 0xc000a35860 0xc000a35900 0xc000a359a0 0xc000a35a40 0xc000a35ae0 0xc000a35b80 0xc000a35c20 0xc000a35cc0 0xc000a35d60 0xc000a35e00 0xc000a35ea0 0xc000a34500 0xc000a345a0 0xc000a34640 0xc00013b680] [0xc000a35cc0 0xc000a35ea0 0xc000a35c20 0xc000a357c0 0xc00013b680 0xc000a354a0 0xc000a34500 0xc000a355e0 0xc000a35e00 0xc000a35d60 0xc000a35900 0xc000a35860 0xc000a35680 0xc000a35a40 0xc000a35b80 0xc000a359a0 0xc000a35540 0xc000a35720 0xc000a35ae0 0xc000a345a0 0xc000a34640] map[104:0xc00013b680 118:0xc000a345a0] [] -1 0 0xc00071eab0 true <nil> []}
2024-10-24T13:31:41.647066719Z       image: registry.build02.ci.openshift.org/ci-op-2fcpj5j6/stable@sha256:a5ffe3489a5c049cb2bae31ba55fa7e3a7654d93d833a78f6c0506d2d7c1b272
2024-10-24T13:31:41.647066719Z       imagePullPolicy: IfNotPresent
2024-10-24T13:31:41.647066719Z       terminationMessagePolicy: FallbackToLogsOnError
2024-10-24T13:31:41.647066719Z       command:
2024-10-24T13:31:41.647066719Z         - /bin/sh
2024-10-24T13:31:41.647066719Z         - -c
2024-10-24T13:31:41.647066719Z         - |
2024-10-24T13:31:41.647066719Z           #!/bin/sh
2024-10-24T13:31:41.647066719Z           set -euo pipefail
2024-10-24T13:31:41.647066719Z 
2024-10-24T13:31:41.647066719Z           : "${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_ETCD_URL_HOST?not set}"
2024-10-24T13:31:41.647066719Z           : "${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_ETCD_NAME?not set}"
2024-10-24T13:31:41.647066719Z           : "${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_IP?not set}"
2024-10-24T13:31:41.647066719Z 
2024-10-24T13:31:41.647066719Z           # check for ipv4 addresses as well as ipv6 addresses with extra square brackets
2024-10-24T13:31:41.647066719Z           if [[ "${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_IP}" != "${NODE_IP}" && "${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_IP}" != "[${NODE_IP}]" ]]; then
2024-10-24T13:31:41.647066719Z             # echo the error message to stderr
2024-10-24T13:31:41.647066719Z             echo "Expected node IP to be ${NODE_IP} got ${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_IP}" >&2
2024-10-24T13:31:41.647066719Z             exit 1
2024-10-24T13:31:41.647066719Z           fi
2024-10-24T13:31:41.647066719Z 
2024-10-24T13:31:41.647066719Z           # check for ipv4 addresses as well as ipv6 addresses with extra square brackets
2024-10-24T13:31:41.647066719Z           if [[ "${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_ETCD_URL_HOST}" != "${NODE_IP}" && "${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_ETCD_URL_HOST}" != "[${NODE_IP}]" ]]; then
2024-10-24T13:31:41.647066719Z             # echo the error message to stderr
2024-10-24T13:31:41.647066719Z             echo "Expected etcd url host to be ${NODE_IP} got ${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_ETCD_URL_HOST}" >&2
2024-10-24T13:31:41.647066719Z             exit 1
2024-10-24T13:31:41.647066719Z           fi
2024-10-24T13:31:41.647066719Z 
2024-10-24T13:31:41.647066719Z       resources:
2024-10-24T13:31:41.647066719Z         requests:
2024-10-24T13:31:41.647066719Z           memory: 60Mi
2024-10-24T13:31:41.647066719Z           cpu: 10m
2024-10-24T13:31:41.647066719Z       securityContext:
2024-10-24T13:31:41.647066719Z         privileged: true
2024-10-24T13:31:41.647066719Z       env:
2024-10-24T13:31:41.647066719Z       - name: "ALL_ETCD_ENDPOINTS"
2024-10-24T13:31:41.647066719Z         value: "https://10.0.0.3:2379,https://10.0.0.4:2379,https://10.0.0.6:2379"
2024-10-24T13:31:41.647066719Z       - name: "ETCDCTL_API"
2024-10-24T13:31:41.647066719Z         value: "3"
2024-10-24T13:31:41.647066719Z       - name: "ETCDCTL_CACERT"
2024-10-24T13:31:41.647066719Z         value: "/etc/kubernetes/static-pod-certs/configmaps/etcd-all-bundles/server-ca-bundle.crt"
2024-10-24T13:31:41.647066719Z       - name: "ETCDCTL_CERT"
2024-10-24T13:31:41.647066719Z         value: "/etc/kubernetes/static-pod-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.crt"
2024-10-24T13:31:41.647066719Z       - name: "ETCDCTL_ENDPOINTS"
2024-10-24T13:31:41.647066719Z         value: "https://10.0.0.3:2379,https://10.0.0.4:2379,https://10.0.0.6:2379"
2024-10-24T13:31:41.647066719Z       - name: "ETCDCTL_KEY"
2024-10-24T13:31:41.647066719Z         value: "/etc/kubernetes/static-pod-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.key"
2024-10-24T13:31:41.647066719Z       - name: "ETCD_CIPHER_SUITES"
2024-10-24T13:31:41.647066719Z         value: "TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256"
2024-10-24T13:31:41.647066719Z       - name: "ETCD_DATA_DIR"
2024-10-24T13:31:41.647066719Z         value: "/var/lib/etcd"
2024-10-24T13:31:41.647066719Z       - name: "ETCD_ELECTION_TIMEOUT"
2024-10-24T13:31:41.647066719Z         value: "1000"
2024-10-24T13:31:41.647066719Z       - name: "ETCD_ENABLE_PPROF"
2024-10-24T13:31:41.647066719Z         value: "true"
2024-10-24T13:31:41.647066719Z       - name: "ETCD_EXPERIMENTAL_MAX_LEARNERS"
2024-10-24T13:31:41.647066719Z         value: "3"
2024-10-24T13:31:41.647066719Z       - name: "ETCD_EXPERIMENTAL_WARNING_APPLY_DURATION"
2024-10-24T13:31:41.647066719Z         value: "200ms"
2024-10-24T13:31:41.647066719Z       - name: "ETCD_EXPERIMENTAL_WATCH_PROGRESS_NOTIFY_INTERVAL"
2024-10-24T13:31:41.647066719Z         value: "5s"
2024-10-24T13:31:41.647066719Z       - name: "ETCD_HEARTBEAT_INTERVAL"
2024-10-24T13:31:41.647066719Z         value: "100"
2024-10-24T13:31:41.647066719Z       - name: "ETCD_IMAGE"
2024-10-24T13:31:41.647066719Z         value: "registry.build02.ci.openshift.org/ci-op-2fcpj5j6/stable@sha256:a5ffe3489a5c049cb2bae31ba55fa7e3a7654d93d833a78f6c0506d2d7c1b272"
2024-10-24T13:31:41.647066719Z       - name: "ETCD_INITIAL_CLUSTER_STATE"
2024-10-24T13:31:41.647066719Z         value: "existing"
2024-10-24T13:31:41.647066719Z       - name: "ETCD_QUOTA_BACKEND_BYTES"
2024-10-24T13:31:41.647066719Z         value: "8589934592"
2024-10-24T13:31:41.647066719Z       - name: "ETCD_SOCKET_REUSE_ADDRESS"
2024-10-24T13:31:41.647066719Z         value: "true"
2024-10-24T13:31:41.647066719Z       - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_0_ETCD_NAME"
2024-10-24T13:31:41.647066719Z         value: "ci-op-2fcpj5j6-f6035-2lklf-master-0"
2024-10-24T13:31:41.647066719Z       - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_0_ETCD_URL_HOST"
2024-10-24T13:31:41.647066719Z         value: "10.0.0.3"
2024-10-24T13:31:41.647066719Z       - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_0_IP"
2024-10-24T13:31:41.647066719Z         value: "10.0.0.3"
2024-10-24T13:31:41.647066719Z       - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_1_ETCD_NAME"
2024-10-24T13:31:41.647066719Z         value: "ci-op-2fcpj5j6-f6035-2lklf-master-1"
2024-10-24T13:31:41.647066719Z       - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_1_ETCD_URL_HOST"
2024-10-24T13:31:41.647066719Z         value: "10.0.0.4"
2024-10-24T13:31:41.647066719Z       - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_1_IP"
2024-10-24T13:31:41.647066719Z         value: "10.0.0.4"
2024-10-24T13:31:41.647066719Z       - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_ETCD_NAME"
2024-10-24T13:31:41.647066719Z         value: "ci-op-2fcpj5j6-f6035-2lklf-master-2"
2024-10-24T13:31:41.647066719Z       - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_ETCD_URL_HOST"
2024-10-24T13:31:41.647066719Z         value: "10.0.0.6"
2024-10-24T13:31:41.647066719Z       - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_IP"
2024-10-24T13:31:41.647066719Z         value: "10.0.0.6"
2024-10-24T13:31:41.647066719Z       - name: NODE_IP
2024-10-24T13:31:41.647066719Z         valueFrom:
2024-10-24T13:31:41.647066719Z           fieldRef:
2024-10-24T13:31:41.647066719Z             fieldPath: status.podIP
2024-10-24T13:31:41.647066719Z     - name: etcd-resources-copy
2024-10-24T13:31:41.647066719Z       image: registry.build02.ci.openshift.org/ci-op-2fcpj5j6/stable@sha256:a5ffe3489a5c049cb2bae31ba55fa7e3a7654d93d833a78f6c0506d2d7c1b272
2024-10-24T13:31:41.647066719Z       imagePullPolicy: IfNotPresent
2024-10-24T13:31:41.647066719Z       terminationMessagePolicy: FallbackToLogsOnError
2024-10-24T13:31:41.647066719Z       command:
2024-10-24T13:31:41.647066719Z         - /bin/sh
2024-10-24T13:31:41.647066719Z         - -c
2024-10-24T13:31:41.647066719Z         - |
2024-10-24T13:31:41.647066719Z           #!/bin/sh
2024-10-24T13:31:41.647066719Z           set -euo pipefail
2024-10-24T13:31:41.647066719Z 
2024-10-24T13:31:41.647066719Z           rm -f $(grep -l '^### Created by cluster-etcd-operator' /usr/local/bin/*)
2024-10-24T13:31:41.647066719Z           cp -p /etc/kubernetes/static-pod-certs/configmaps/etcd-scripts/*.sh /usr/local/bin
2024-10-24T13:31:41.647066719Z 
2024-10-24T13:31:41.647066719Z       resources:
2024-10-24T13:31:41.647066719Z         requests:
2024-10-24T13:31:41.647066719Z           memory: 60Mi
2024-10-24T13:31:41.647066719Z           cpu: 10m
2024-10-24T13:31:41.647066719Z       securityContext:
2024-10-24T13:31:41.647066719Z         privileged: true
2024-10-24T13:31:41.647066719Z       volumeMounts:
2024-10-24T13:31:41.647066719Z         - mountPath: /etc/kubernetes/static-pod-resources
2024-10-24T13:31:41.647066719Z           name: resource-dir
2024-10-24T13:31:41.647066719Z         - mountPath: /etc/kubernetes/static-pod-certs
2024-10-24T13:31:41.647066719Z           name: cert-dir
2024-10-24T13:31:41.647066719Z         - mountPath: /usr/local/bin
2024-10-24T13:31:41.647066719Z           name: usr-local-bin
2024-10-24T13:31:41.647066719Z   containers:
2024-10-24T13:31:41.647066719Z   # The etcdctl container should always be first. It is intended to be used
2024-10-24T13:31:41.647066719Z   # to open a remote shell via `oc rsh` that is ready to run `etcdctl`.
2024-10-24T13:31:41.647066719Z   - name: etcdctl
2024-10-24T13:31:41.647066719Z     image: registry.build02.ci.openshift.org/ci-op-2fcpj5j6/stable@sha256:a5ffe3489a5c049cb2bae31ba55fa7e3a7654d93d833a78f6c0506d2d7c1b272
2024-10-24T13:31:41.647066719Z     imagePullPolicy: IfNotPresent
2024-10-24T13:31:41.647066719Z     terminationMessagePolicy: FallbackToLogsOnError
2024-10-24T13:31:41.647066719Z     command:
2024-10-24T13:31:41.647066719Z       - "/bin/bash"
2024-10-24T13:31:41.647066719Z       - "-c"
2024-10-24T13:31:41.647066719Z       - "trap TERM INT; sleep infinity & wait"
2024-10-24T13:31:41.647066719Z     resources:
2024-10-24T13:31:41.647066719Z       requests:
2024-10-24T13:31:41.647066719Z         memory: 60Mi
2024-10-24T13:31:41.647066719Z         cpu: 10m
2024-10-24T13:31:41.647066719Z     volumeMounts:
2024-10-24T13:31:41.647066719Z       - mountPath: /etc/kubernetes/manifests
2024-10-24T13:31:41.647066719Z         name: static-pod-dir
2024-10-24T13:31:41.647066719Z       - mountPath: /etc/kubernetes/static-pod-resources
2024-10-24T13:31:41.647066719Z         name: resource-dir
2024-10-24T13:31:41.647066719Z       - mountPath: /etc/kubernetes/static-pod-certs
2024-10-24T13:31:41.647066719Z         name: cert-dir
2024-10-24T13:31:41.647066719Z       - mountPath: /var/lib/etcd/
2024-10-24T13:31:41.647066719Z         name: data-dir
2024-10-24T13:31:41.647066719Z     env:
2024-10-24T13:31:41.647066719Z     - name: "ALL_ETCD_ENDPOINTS"
2024-10-24T13:31:41.647066719Z       value: "https://10.0.0.3:2379,https://10.0.0.4:2379,https://10.0.0.6:2379"
2024-10-24T13:31:41.647066719Z     - name: "ETCDCTL_API"
2024-10-24T13:31:41.647066719Z       value: "3"
2024-10-24T13:31:41.647066719Z     - name: "ETCDCTL_CACERT"
2024-10-24T13:31:41.647066719Z       value: "/etc/kubernetes/static-pod-certs/configmaps/etcd-all-bundles/server-ca-bundle.crt"
2024-10-24T13:31:41.647066719Z     - name: "ETCDCTL_CERT"
2024-10-24T13:31:41.647066719Z       value: "/etc/kubernetes/static-pod-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.crt"
2024-10-24T13:31:41.647066719Z     - name: "ETCDCTL_ENDPOINTS"
2024-10-24T13:31:41.647066719Z       value: "https://10.0.0.3:2379,https://10.0.0.4:2379,https://10.0.0.6:2379"
2024-10-24T13:31:41.647066719Z     - name: "ETCDCTL_KEY"
2024-10-24T13:31:41.647237539Z       value: "/etc/kubernetes/static-pod-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.key"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_CIPHER_SUITES"
2024-10-24T13:31:41.647237539Z       value: "TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_DATA_DIR"
2024-10-24T13:31:41.647237539Z       value: "/var/lib/etcd"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_ELECTION_TIMEOUT"
2024-10-24T13:31:41.647237539Z       value: "1000"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_ENABLE_PPROF"
2024-10-24T13:31:41.647237539Z       value: "true"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_EXPERIMENTAL_MAX_LEARNERS"
2024-10-24T13:31:41.647237539Z       value: "3"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_EXPERIMENTAL_WARNING_APPLY_DURATION"
2024-10-24T13:31:41.647237539Z       value: "200ms"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_EXPERIMENTAL_WATCH_PROGRESS_NOTIFY_INTERVAL"
2024-10-24T13:31:41.647237539Z       value: "5s"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_HEARTBEAT_INTERVAL"
2024-10-24T13:31:41.647237539Z       value: "100"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_IMAGE"
2024-10-24T13:31:41.647237539Z       value: "registry.build02.ci.openshift.org/ci-op-2fcpj5j6/stable@sha256:a5ffe3489a5c049cb2bae31ba55fa7e3a7654d93d833a78f6c0506d2d7c1b272"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_INITIAL_CLUSTER_STATE"
2024-10-24T13:31:41.647237539Z       value: "existing"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_QUOTA_BACKEND_BYTES"
2024-10-24T13:31:41.647237539Z       value: "8589934592"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_SOCKET_REUSE_ADDRESS"
2024-10-24T13:31:41.647237539Z       value: "true"
2024-10-24T13:31:41.647237539Z     - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_0_ETCD_NAME"
2024-10-24T13:31:41.647237539Z       value: "ci-op-2fcpj5j6-f6035-2lklf-master-0"
2024-10-24T13:31:41.647237539Z     - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_0_ETCD_URL_HOST"
2024-10-24T13:31:41.647237539Z       value: "10.0.0.3"
2024-10-24T13:31:41.647237539Z     - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_0_IP"
2024-10-24T13:31:41.647237539Z       value: "10.0.0.3"
2024-10-24T13:31:41.647237539Z     - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_1_ETCD_NAME"
2024-10-24T13:31:41.647237539Z       value: "ci-op-2fcpj5j6-f6035-2lklf-master-1"
2024-10-24T13:31:41.647237539Z     - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_1_ETCD_URL_HOST"
2024-10-24T13:31:41.647237539Z       value: "10.0.0.4"
2024-10-24T13:31:41.647237539Z     - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_1_IP"
2024-10-24T13:31:41.647237539Z       value: "10.0.0.4"
2024-10-24T13:31:41.647237539Z     - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_ETCD_NAME"
2024-10-24T13:31:41.647237539Z       value: "ci-op-2fcpj5j6-f6035-2lklf-master-2"
2024-10-24T13:31:41.647237539Z     - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_ETCD_URL_HOST"
2024-10-24T13:31:41.647237539Z       value: "10.0.0.6"
2024-10-24T13:31:41.647237539Z     - name: "NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_IP"
2024-10-24T13:31:41.647237539Z       value: "10.0.0.6"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_STATIC_POD_VERSION"
2024-10-24T13:31:41.647237539Z       value: "13"
2024-10-24T13:31:41.647237539Z   - name: etcd
2024-10-24T13:31:41.647237539Z     image: registry.build02.ci.openshift.org/ci-op-2fcpj5j6/stable@sha256:a5ffe3489a5c049cb2bae31ba55fa7e3a7654d93d833a78f6c0506d2d7c1b272
2024-10-24T13:31:41.647237539Z     imagePullPolicy: IfNotPresent
2024-10-24T13:31:41.647237539Z     terminationMessagePolicy: FallbackToLogsOnError
2024-10-24T13:31:41.647237539Z     command:
2024-10-24T13:31:41.647237539Z       - /bin/sh
2024-10-24T13:31:41.647237539Z       - -c
2024-10-24T13:31:41.647237539Z       - |
2024-10-24T13:31:41.647237539Z         #!/bin/sh
2024-10-24T13:31:41.647237539Z         set -euo pipefail
2024-10-24T13:31:41.647237539Z 
2024-10-24T13:31:41.647237539Z         etcdctl member list || true
2024-10-24T13:31:41.647237539Z 
2024-10-24T13:31:41.647237539Z         # this has a non-zero return code if the command is non-zero.  If you use an export first, it doesn't and you
2024-10-24T13:31:41.647237539Z         # will succeed when you should fail.
2024-10-24T13:31:41.647237539Z         ETCD_INITIAL_CLUSTER=$(discover-etcd-initial-cluster \
2024-10-24T13:31:41.647237539Z           --cacert=/etc/kubernetes/static-pod-certs/configmaps/etcd-all-bundles/server-ca-bundle.crt \
2024-10-24T13:31:41.647237539Z           --cert=/etc/kubernetes/static-pod-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.crt \
2024-10-24T13:31:41.647237539Z           --key=/etc/kubernetes/static-pod-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.key \
2024-10-24T13:31:41.647237539Z           --endpoints=${ALL_ETCD_ENDPOINTS} \
2024-10-24T13:31:41.647237539Z           --data-dir=/var/lib/etcd \
2024-10-24T13:31:41.647237539Z           --target-peer-url-host=${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_ETCD_URL_HOST} \
2024-10-24T13:31:41.647237539Z           --target-name=ci-op-2fcpj5j6-f6035-2lklf-master-2)
2024-10-24T13:31:41.647237539Z         export ETCD_INITIAL_CLUSTER
2024-10-24T13:31:41.647237539Z 
2024-10-24T13:31:41.647237539Z         # we cannot use the "normal" port conflict initcontainer because when we upgrade, the existing static pod will never yield,
2024-10-24T13:31:41.647237539Z         # so we do the detection in etcd container itself.
2024-10-24T13:31:41.647237539Z         echo -n "Waiting for ports 2379, 2380 and 9978 to be released."
2024-10-24T13:31:41.647237539Z         time while [ -n "$(ss -Htan '( sport = 2379 or sport = 2380 or sport = 9978 )')" ]; do
2024-10-24T13:31:41.647237539Z           echo -n "."
2024-10-24T13:31:41.647237539Z           sleep 1
2024-10-24T13:31:41.647237539Z         done
2024-10-24T13:31:41.647237539Z 
2024-10-24T13:31:41.647237539Z         export ETCD_NAME=${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_ETCD_NAME}
2024-10-24T13:31:41.647237539Z         env | grep ETCD | grep -v NODE
2024-10-24T13:31:41.647237539Z 
2024-10-24T13:31:41.647237539Z         set -x
2024-10-24T13:31:41.647237539Z         # See https://etcd.io/docs/v3.4.0/tuning/ for why we use ionice
2024-10-24T13:31:41.647237539Z         exec nice -n -19 ionice -c2 -n0 etcd \
2024-10-24T13:31:41.647237539Z           --logger=zap \
2024-10-24T13:31:41.647237539Z           --log-level=info \
2024-10-24T13:31:41.647237539Z           --experimental-initial-corrupt-check=true \
2024-10-24T13:31:41.647237539Z           --snapshot-count=10000 \
2024-10-24T13:31:41.647237539Z           --initial-advertise-peer-urls=https://${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_IP}:2380 \
2024-10-24T13:31:41.647237539Z           --cert-file=/etc/kubernetes/static-pod-certs/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-2.crt \
2024-10-24T13:31:41.647237539Z           --key-file=/etc/kubernetes/static-pod-certs/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-2.key \
2024-10-24T13:31:41.647237539Z           --trusted-ca-file=/etc/kubernetes/static-pod-certs/configmaps/etcd-all-bundles/server-ca-bundle.crt \
2024-10-24T13:31:41.647237539Z           --client-cert-auth=true \
2024-10-24T13:31:41.647237539Z           --peer-cert-file=/etc/kubernetes/static-pod-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.crt \
2024-10-24T13:31:41.647237539Z           --peer-key-file=/etc/kubernetes/static-pod-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.key \
2024-10-24T13:31:41.647237539Z           --peer-trusted-ca-file=/etc/kubernetes/static-pod-certs/configmaps/etcd-all-bundles/server-ca-bundle.crt \
2024-10-24T13:31:41.647237539Z           --peer-client-cert-auth=true \
2024-10-24T13:31:41.647237539Z           --advertise-client-urls=https://${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_IP}:2379 \
2024-10-24T13:31:41.647237539Z           --listen-client-urls=https://0.0.0.0:2379,unixs://${NODE_ci_op_2fcpj5j6_f6035_2lklf_master_2_IP}:0 \
2024-10-24T13:31:41.647237539Z           --listen-peer-urls=https://0.0.0.0:2380 \
2024-10-24T13:31:41.647237539Z           --metrics=extensive \
2024-10-24T13:31:41.647237539Z           --listen-metrics-urls=https://0.0.0.0:9978 ||  mv /etc/kubernetes/etcd-backup-dir/etcd-member.yaml /etc/kubernetes/manifests
2024-10-24T13:31:41.647237539Z     env:
2024-10-24T13:31:41.647237539Z     - name: "ALL_ETCD_ENDPOINTS"
2024-10-24T13:31:41.647237539Z       value: "https://10.0.0.3:2379,https://10.0.0.4:2379,https://10.0.0.6:2379"
2024-10-24T13:31:41.647237539Z     - name: "ETCDCTL_API"
2024-10-24T13:31:41.647237539Z       value: "3"
2024-10-24T13:31:41.647237539Z     - name: "ETCDCTL_CACERT"
2024-10-24T13:31:41.647237539Z       value: "/etc/kubernetes/static-pod-certs/configmaps/etcd-all-bundles/server-ca-bundle.crt"
2024-10-24T13:31:41.647237539Z     - name: "ETCDCTL_CERT"
2024-10-24T13:31:41.647237539Z       value: "/etc/kubernetes/static-pod-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.crt"
2024-10-24T13:31:41.647237539Z     - name: "ETCDCTL_ENDPOINTS"
2024-10-24T13:31:41.647237539Z       value: "https://10.0.0.3:2379,https://10.0.0.4:2379,https://10.0.0.6:2379"
2024-10-24T13:31:41.647237539Z     - name: "ETCDCTL_KEY"
2024-10-24T13:31:41.647237539Z       value: "/etc/kubernetes/static-pod-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.key"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_CIPHER_SUITES"
2024-10-24T13:31:41.647237539Z       value: "TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_DATA_DIR"
2024-10-24T13:31:41.647237539Z       value: "/var/lib/etcd"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_ELECTION_TIMEOUT"
2024-10-24T13:31:41.647237539Z       value: "1000"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_ENABLE_PPROF"
2024-10-24T13:31:41.647237539Z       value: "true"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_EXPERIMENTAL_MAX_LEARNERS"
2024-10-24T13:31:41.647237539Z       value: "3"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_EXPERIMENTAL_WARNING_APPLY_DURATION"
2024-10-24T13:31:41.647237539Z       value: "200ms"
2024-10-24T13:31:41.647237539Z     - name: "ETCD_EXPERIMENTAL_WATCH_PROGRESS_NOTIFY_INTERVAL"
2024-10-24T13:31:41.647237539Z       value: "5s"
