2024-10-24T13:03:27.739016785Z ++ K8S_NODE=ci-op-2fcpj5j6-f6035-2lklf-master-0
2024-10-24T13:03:27.739016785Z ++ [[ -n ci-op-2fcpj5j6-f6035-2lklf-master-0 ]]
2024-10-24T13:03:27.739016785Z ++ [[ -f /env/ci-op-2fcpj5j6-f6035-2lklf-master-0 ]]
2024-10-24T13:03:27.739016785Z ++ northd_pidfile=/var/run/ovn/ovn-northd.pid
2024-10-24T13:03:27.739016785Z ++ controller_pidfile=/var/run/ovn/ovn-controller.pid
2024-10-24T13:03:27.739016785Z ++ controller_logfile=/var/log/ovn/acl-audit-log.log
2024-10-24T13:03:27.739016785Z ++ vswitch_dbsock=/var/run/openvswitch/db.sock
2024-10-24T13:03:27.739016785Z ++ nbdb_pidfile=/var/run/ovn/ovnnb_db.pid
2024-10-24T13:03:27.739016785Z ++ nbdb_sock=/var/run/ovn/ovnnb_db.sock
2024-10-24T13:03:27.739016785Z ++ nbdb_ctl=/var/run/ovn/ovnnb_db.ctl
2024-10-24T13:03:27.739278325Z ++ sbdb_pidfile=/var/run/ovn/ovnsb_db.pid
2024-10-24T13:03:27.739278325Z ++ sbdb_sock=/var/run/ovn/ovnsb_db.sock
2024-10-24T13:03:27.739278325Z ++ sbdb_ctl=/var/run/ovn/ovnsb_db.ctl
2024-10-24T13:03:27.739933275Z + start-ovn-controller info
2024-10-24T13:03:27.739933275Z + local log_level=info
2024-10-24T13:03:27.739933275Z + [[ 1 -ne 1 ]]
2024-10-24T13:03:27.740434025Z ++ date -Iseconds
2024-10-24T13:03:27.742596944Z + echo '2024-10-24T13:03:27+00:00 - starting ovn-controller'
2024-10-24T13:03:27.742640495Z 2024-10-24T13:03:27+00:00 - starting ovn-controller
2024-10-24T13:03:27.742662575Z + exec ovn-controller unix:/var/run/openvswitch/db.sock -vfile:off --no-chdir --pidfile=/var/run/ovn/ovn-controller.pid --syslog-method=null --log-file=/var/log/ovn/acl-audit-log.log -vFACILITY:local0 -vconsole:info -vconsole:acl_log:off '-vPATTERN:console:%D{%Y-%m-%dT%H:%M:%S.###Z}|%05N|%c%T|%p|%m' -vsyslog:acl_log:info -vfile:acl_log:info
2024-10-24T13:05:30.060486105Z 2024-10-24T13:05:30.060Z|00125|binding|INFO|Setting lport openshift-kube-controller-manager_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 down in Southbound
2024-10-24T13:05:31.100024076Z 2024-10-24T13:05:31.099Z|00126|binding|INFO|Claiming lport openshift-kube-apiserver_installer-1-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:05:31.100174106Z 2024-10-24T13:05:31.100Z|00127|binding|INFO|openshift-kube-apiserver_installer-1-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:17 10.129.0.23
2024-10-24T13:05:31.120914308Z 2024-10-24T13:05:31.120Z|00128|binding|INFO|Setting lport openshift-kube-apiserver_installer-1-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:05:31.120914308Z 2024-10-24T13:05:31.120Z|00129|binding|INFO|Setting lport openshift-kube-apiserver_installer-1-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:05:45.537251642Z 2024-10-24T13:05:45.537Z|00130|binding|INFO|Releasing lport openshift-kube-scheduler_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 from this chassis (sb_readonly=0)
2024-10-24T13:05:45.537251642Z 2024-10-24T13:05:45.537Z|00131|binding|INFO|Setting lport openshift-kube-scheduler_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 down in Southbound
2024-10-24T13:05:47.540648592Z 2024-10-24T13:05:47.540Z|00132|binding|INFO|Releasing lport openshift-etcd_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 from this chassis (sb_readonly=0)
2024-10-24T13:05:47.540764143Z 2024-10-24T13:05:47.540Z|00133|binding|INFO|Setting lport openshift-etcd_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 down in Southbound
2024-10-24T13:05:50.833105009Z 2024-10-24T13:05:50.832Z|00134|binding|INFO|Claiming lport openshift-etcd_etcd-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:05:50.833105009Z 2024-10-24T13:05:50.832Z|00135|binding|INFO|openshift-etcd_etcd-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:18 10.129.0.24
2024-10-24T13:05:50.858072129Z 2024-10-24T13:05:50.858Z|00136|binding|INFO|Setting lport openshift-etcd_etcd-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:05:50.858233309Z 2024-10-24T13:05:50.858Z|00137|binding|INFO|Setting lport openshift-etcd_etcd-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:05:50.933964950Z 2024-10-24T13:05:50.933Z|00138|binding|INFO|Claiming lport openshift-kube-apiserver_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:05:50.934047580Z 2024-10-24T13:05:50.934Z|00139|binding|INFO|openshift-kube-apiserver_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:19 10.129.0.25
2024-10-24T13:05:50.954297690Z 2024-10-24T13:05:50.954Z|00140|binding|INFO|Setting lport openshift-kube-apiserver_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:05:50.954483770Z 2024-10-24T13:05:50.954Z|00141|binding|INFO|Setting lport openshift-kube-apiserver_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:06:02.287273039Z 2024-10-24T13:06:02.287Z|00142|binding|INFO|Releasing lport openshift-kube-apiserver_installer-1-ci-op-2fcpj5j6-f6035-2lklf-master-0 from this chassis (sb_readonly=0)
2024-10-24T13:06:02.287479859Z 2024-10-24T13:06:02.287Z|00143|binding|INFO|Setting lport openshift-kube-apiserver_installer-1-ci-op-2fcpj5j6-f6035-2lklf-master-0 down in Southbound
2024-10-24T13:06:12.742605794Z 2024-10-24T13:06:12.742Z|00144|binding|INFO|Releasing lport openshift-kube-controller-manager_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 from this chassis (sb_readonly=0)
2024-10-24T13:06:12.742605794Z 2024-10-24T13:06:12.742Z|00145|binding|INFO|Setting lport openshift-kube-controller-manager_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 down in Southbound
2024-10-24T13:06:15.641461289Z 2024-10-24T13:06:15.641Z|00146|binding|INFO|Claiming lport openshift-kube-controller-manager_kube-controller-manager-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:06:15.641542019Z 2024-10-24T13:06:15.641Z|00147|binding|INFO|openshift-kube-controller-manager_kube-controller-manager-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:1a 10.129.0.26
2024-10-24T13:06:15.662256889Z 2024-10-24T13:06:15.662Z|00148|binding|INFO|Setting lport openshift-kube-controller-manager_kube-controller-manager-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:06:15.670056679Z 2024-10-24T13:06:15.670Z|00149|binding|INFO|Setting lport openshift-kube-controller-manager_kube-controller-manager-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:06:42.699807518Z 2024-10-24T13:06:42.699Z|00150|binding|INFO|Claiming lport openshift-kube-scheduler_installer-4-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:06:42.699888368Z 2024-10-24T13:06:42.699Z|00151|binding|INFO|openshift-kube-scheduler_installer-4-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:1b 10.129.0.27
2024-10-24T13:06:42.718108240Z 2024-10-24T13:06:42.718Z|00152|binding|INFO|Setting lport openshift-kube-scheduler_installer-4-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:06:42.718108240Z 2024-10-24T13:06:42.718Z|00153|binding|INFO|Setting lport openshift-kube-scheduler_installer-4-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:06:51.052169919Z 2024-10-24T13:06:51.051Z|00154|binding|INFO|Releasing lport openshift-kube-apiserver_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 from this chassis (sb_readonly=0)
2024-10-24T13:06:51.052169919Z 2024-10-24T13:06:51.051Z|00155|binding|INFO|Setting lport openshift-kube-apiserver_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 down in Southbound
2024-10-24T13:06:55.849779436Z 2024-10-24T13:06:55.849Z|00156|binding|INFO|Claiming lport openshift-kube-apiserver_kube-apiserver-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:06:55.849779436Z 2024-10-24T13:06:55.849Z|00157|binding|INFO|openshift-kube-apiserver_kube-apiserver-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:1c 10.129.0.28
2024-10-24T13:06:55.874846668Z 2024-10-24T13:06:55.874Z|00158|binding|INFO|Setting lport openshift-kube-apiserver_kube-apiserver-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:06:55.875388068Z 2024-10-24T13:06:55.875Z|00159|binding|INFO|Setting lport openshift-kube-apiserver_kube-apiserver-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:07:03.219031886Z 2024-10-24T13:07:03.218Z|00160|binding|INFO|Releasing lport openshift-apiserver_apiserver-f67c66b4b-sppzf from this chassis (sb_readonly=0)
2024-10-24T13:07:03.219031886Z 2024-10-24T13:07:03.218Z|00161|binding|INFO|Setting lport openshift-apiserver_apiserver-f67c66b4b-sppzf down in Southbound
2024-10-24T13:07:03.804298020Z 2024-10-24T13:07:03.804Z|00162|binding|INFO|Claiming lport openshift-apiserver_apiserver-5d5579f445-5twj5 for this chassis.
2024-10-24T13:07:03.804405709Z 2024-10-24T13:07:03.804Z|00163|binding|INFO|openshift-apiserver_apiserver-5d5579f445-5twj5: Claiming 0a:58:0a:81:00:1d 10.129.0.29
2024-10-24T13:07:03.823250231Z 2024-10-24T13:07:03.823Z|00164|binding|INFO|Setting lport openshift-apiserver_apiserver-5d5579f445-5twj5 ovn-installed in OVS
2024-10-24T13:07:03.823250231Z 2024-10-24T13:07:03.823Z|00165|binding|INFO|Setting lport openshift-apiserver_apiserver-5d5579f445-5twj5 up in Southbound
2024-10-24T13:07:16.175368686Z 2024-10-24T13:07:16.175Z|00166|binding|INFO|Releasing lport openshift-kube-scheduler_installer-4-ci-op-2fcpj5j6-f6035-2lklf-master-0 from this chassis (sb_readonly=0)
2024-10-24T13:07:16.175368686Z 2024-10-24T13:07:16.175Z|00167|binding|INFO|Setting lport openshift-kube-scheduler_installer-4-ci-op-2fcpj5j6-f6035-2lklf-master-0 down in Southbound
2024-10-24T13:07:37.447629072Z 2024-10-24T13:07:37.447Z|00168|binding|INFO|Claiming lport openshift-dns_dns-default-zmd45 for this chassis.
2024-10-24T13:07:37.447629072Z 2024-10-24T13:07:37.447Z|00169|binding|INFO|openshift-dns_dns-default-zmd45: Claiming 0a:58:0a:81:00:1e 10.129.0.30
2024-10-24T13:07:37.503834047Z 2024-10-24T13:07:37.503Z|00170|binding|INFO|Setting lport openshift-dns_dns-default-zmd45 ovn-installed in OVS
2024-10-24T13:07:37.503886377Z 2024-10-24T13:07:37.503Z|00171|binding|INFO|Setting lport openshift-dns_dns-default-zmd45 up in Southbound
2024-10-24T13:07:40.858765423Z 2024-10-24T13:07:40.858Z|00172|binding|INFO|Claiming lport openshift-kube-apiserver_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:07:40.858765423Z 2024-10-24T13:07:40.858Z|00173|binding|INFO|openshift-kube-apiserver_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:1f 10.129.0.31
2024-10-24T13:07:40.913443808Z 2024-10-24T13:07:40.913Z|00174|binding|INFO|Setting lport openshift-kube-apiserver_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:07:40.915321968Z 2024-10-24T13:07:40.915Z|00175|binding|INFO|Setting lport openshift-kube-apiserver_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:07:59.917307973Z 2024-10-24T13:07:59.917Z|00176|binding|INFO|Claiming lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd for this chassis.
2024-10-24T13:07:59.918325053Z 2024-10-24T13:07:59.918Z|00177|binding|INFO|openshift-controller-manager_controller-manager-6b59c47496-mgxqd: Claiming 0a:58:0a:81:00:07 10.129.0.7
2024-10-24T13:07:59.984437658Z 2024-10-24T13:07:59.984Z|00178|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd ovn-installed in OVS
2024-10-24T13:07:59.984535268Z 2024-10-24T13:07:59.984Z|00179|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd up in Southbound
2024-10-24T13:08:20.512783055Z 2024-10-24T13:08:20.512Z|00180|binding|INFO|Releasing lport openshift-kube-apiserver_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 from this chassis (sb_readonly=0)
2024-10-24T13:08:20.512889015Z 2024-10-24T13:08:20.512Z|00181|binding|INFO|Setting lport openshift-kube-apiserver_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 down in Southbound
2024-10-24T13:08:20.836982292Z 2024-10-24T13:08:20.836Z|00182|binding|INFO|Claiming lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn for this chassis.
2024-10-24T13:08:20.836982292Z 2024-10-24T13:08:20.836Z|00183|binding|INFO|openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn: Claiming 0a:58:0a:81:00:0d 10.129.0.13
2024-10-24T13:08:20.891760668Z 2024-10-24T13:08:20.891Z|00184|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn ovn-installed in OVS
2024-10-24T13:08:20.891760668Z 2024-10-24T13:08:20.891Z|00185|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn up in Southbound
2024-10-24T13:08:38.411243781Z 2024-10-24T13:08:38.411Z|00186|binding|INFO|Releasing lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd from this chassis (sb_readonly=0)
2024-10-24T13:08:38.411343031Z 2024-10-24T13:08:38.411Z|00187|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd down in Southbound
2024-10-24T13:08:38.413240741Z 2024-10-24T13:08:38.413Z|00188|binding|INFO|Releasing lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn from this chassis (sb_readonly=1)
2024-10-24T13:08:38.415255681Z 2024-10-24T13:08:38.415Z|00189|if_status|INFO|Not setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn down as sb is readonly
2024-10-24T13:08:38.416715620Z 2024-10-24T13:08:38.416Z|00190|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn down in Southbound
2024-10-24T13:08:39.644649452Z 2024-10-24T13:08:39.644Z|00191|binding|INFO|Claiming lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd for this chassis.
2024-10-24T13:08:39.644707432Z 2024-10-24T13:08:39.644Z|00192|binding|INFO|openshift-controller-manager_controller-manager-6b59c47496-mgxqd: Claiming 0a:58:0a:81:00:07 10.129.0.7
2024-10-24T13:08:39.702444519Z 2024-10-24T13:08:39.702Z|00193|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd ovn-installed in OVS
2024-10-24T13:08:39.702444519Z 2024-10-24T13:08:39.702Z|00194|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd up in Southbound
2024-10-24T13:08:39.708255978Z 2024-10-24T13:08:39.708Z|00195|binding|INFO|Claiming lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn for this chassis.
2024-10-24T13:08:39.708350838Z 2024-10-24T13:08:39.708Z|00196|binding|INFO|openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn: Claiming 0a:58:0a:81:00:0d 10.129.0.13
2024-10-24T13:08:39.763295714Z 2024-10-24T13:08:39.763Z|00197|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn ovn-installed in OVS
2024-10-24T13:08:39.763295714Z 2024-10-24T13:08:39.763Z|00198|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn up in Southbound
2024-10-24T13:08:39.835900059Z 2024-10-24T13:08:39.835Z|00199|binding|INFO|Releasing lport openshift-oauth-apiserver_apiserver-6f5fbdd644-gqhhc from this chassis (sb_readonly=0)
2024-10-24T13:08:39.835900059Z 2024-10-24T13:08:39.835Z|00200|binding|INFO|Setting lport openshift-oauth-apiserver_apiserver-6f5fbdd644-gqhhc down in Southbound
2024-10-24T13:09:03.784820642Z 2024-10-24T13:09:03.784Z|00201|memory_trim|INFO|Detected inactivity (last active 30001 ms ago): trimming memory
2024-10-24T13:09:09.954746881Z 2024-10-24T13:09:09.954Z|00202|binding|INFO|Releasing lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd from this chassis (sb_readonly=0)
2024-10-24T13:09:09.954806511Z 2024-10-24T13:09:09.954Z|00203|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd down in Southbound
2024-10-24T13:09:10.021671221Z 2024-10-24T13:09:10.021Z|00204|binding|INFO|Releasing lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn from this chassis (sb_readonly=0)
2024-10-24T13:09:10.021671221Z 2024-10-24T13:09:10.021Z|00205|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn down in Southbound
2024-10-24T13:09:10.800059070Z 2024-10-24T13:09:10.800Z|00206|binding|INFO|Claiming lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn for this chassis.
2024-10-24T13:09:10.800169080Z 2024-10-24T13:09:10.800Z|00207|binding|INFO|openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn: Claiming 0a:58:0a:81:00:0d 10.129.0.13
2024-10-24T13:09:10.860009522Z 2024-10-24T13:09:10.859Z|00208|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn ovn-installed in OVS
2024-10-24T13:09:10.860009522Z 2024-10-24T13:09:10.859Z|00209|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn up in Southbound
2024-10-24T13:09:10.862730771Z 2024-10-24T13:09:10.862Z|00210|binding|INFO|Claiming lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd for this chassis.
2024-10-24T13:09:10.862730771Z 2024-10-24T13:09:10.862Z|00211|binding|INFO|openshift-controller-manager_controller-manager-6b59c47496-mgxqd: Claiming 0a:58:0a:81:00:07 10.129.0.7
2024-10-24T13:09:10.923182933Z 2024-10-24T13:09:10.923Z|00212|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd ovn-installed in OVS
2024-10-24T13:09:10.923339593Z 2024-10-24T13:09:10.923Z|00213|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd up in Southbound
2024-10-24T13:09:11.107615136Z 2024-10-24T13:09:11.107Z|00214|binding|INFO|Releasing lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn from this chassis (sb_readonly=0)
2024-10-24T13:09:11.107753336Z 2024-10-24T13:09:11.107Z|00215|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn down in Southbound
2024-10-24T13:09:25.219694992Z 2024-10-24T13:09:25.219Z|00216|binding|INFO|Claiming lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn for this chassis.
2024-10-24T13:09:25.219772312Z 2024-10-24T13:09:25.219Z|00217|binding|INFO|openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn: Claiming 0a:58:0a:81:00:0d 10.129.0.13
2024-10-24T13:09:25.286015282Z 2024-10-24T13:09:25.285Z|00218|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn ovn-installed in OVS
2024-10-24T13:09:25.286015282Z 2024-10-24T13:09:25.285Z|00219|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn up in Southbound
2024-10-24T13:09:41.170802946Z 2024-10-24T13:09:41.170Z|00220|binding|INFO|Releasing lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd from this chassis (sb_readonly=0)
2024-10-24T13:09:41.170959766Z 2024-10-24T13:09:41.170Z|00221|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd down in Southbound
2024-10-24T13:09:41.917953379Z 2024-10-24T13:09:41.917Z|00222|binding|INFO|Claiming lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd for this chassis.
2024-10-24T13:09:41.918027419Z 2024-10-24T13:09:41.918Z|00223|binding|INFO|openshift-controller-manager_controller-manager-6b59c47496-mgxqd: Claiming 0a:58:0a:81:00:07 10.129.0.7
2024-10-24T13:09:41.977598321Z 2024-10-24T13:09:41.977Z|00224|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd up in Southbound
2024-10-24T13:09:41.978084740Z 2024-10-24T13:09:41.978Z|00225|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd ovn-installed in OVS
2024-10-24T13:09:55.526419236Z 2024-10-24T13:09:55.526Z|00226|binding|INFO|Releasing lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn from this chassis (sb_readonly=0)
2024-10-24T13:09:55.526496316Z 2024-10-24T13:09:55.526Z|00227|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn down in Southbound
2024-10-24T13:10:11.218917826Z 2024-10-24T13:10:11.218Z|00228|binding|INFO|Claiming lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn for this chassis.
2024-10-24T13:10:11.218989216Z 2024-10-24T13:10:11.218Z|00229|binding|INFO|openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn: Claiming 0a:58:0a:81:00:0d 10.129.0.13
2024-10-24T13:10:11.282299797Z 2024-10-24T13:10:11.282Z|00230|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn ovn-installed in OVS
2024-10-24T13:10:11.282299797Z 2024-10-24T13:10:11.282Z|00231|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn up in Southbound
2024-10-24T13:10:12.228154986Z 2024-10-24T13:10:12.228Z|00232|binding|INFO|Releasing lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd from this chassis (sb_readonly=0)
2024-10-24T13:10:12.228269286Z 2024-10-24T13:10:12.228Z|00233|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd down in Southbound
2024-10-24T13:10:13.063351759Z 2024-10-24T13:10:13.063Z|00234|binding|INFO|Claiming lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd for this chassis.
2024-10-24T13:10:13.063351759Z 2024-10-24T13:10:13.063Z|00235|binding|INFO|openshift-controller-manager_controller-manager-6b59c47496-mgxqd: Claiming 0a:58:0a:81:00:07 10.129.0.7
2024-10-24T13:10:13.124798811Z 2024-10-24T13:10:13.124Z|00236|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd ovn-installed in OVS
2024-10-24T13:10:13.124798811Z 2024-10-24T13:10:13.124Z|00237|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd up in Southbound
2024-10-24T13:10:13.388332657Z 2024-10-24T13:10:13.388Z|00238|binding|INFO|Releasing lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd from this chassis (sb_readonly=0)
2024-10-24T13:10:13.388332657Z 2024-10-24T13:10:13.388Z|00239|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd down in Southbound
2024-10-24T13:10:24.217539379Z 2024-10-24T13:10:24.217Z|00240|binding|INFO|Claiming lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd for this chassis.
2024-10-24T13:10:24.217616619Z 2024-10-24T13:10:24.217Z|00241|binding|INFO|openshift-controller-manager_controller-manager-6b59c47496-mgxqd: Claiming 0a:58:0a:81:00:07 10.129.0.7
2024-10-24T13:10:24.290928680Z 2024-10-24T13:10:24.290Z|00242|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd ovn-installed in OVS
2024-10-24T13:10:24.291042880Z 2024-10-24T13:10:24.291Z|00243|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd up in Southbound
2024-10-24T13:10:36.908558891Z 2024-10-24T13:10:36.908Z|00244|binding|INFO|Releasing lport openshift-marketplace_redhat-operators-skqd4 from this chassis (sb_readonly=0)
2024-10-24T13:10:36.908558891Z 2024-10-24T13:10:36.908Z|00245|binding|INFO|Setting lport openshift-marketplace_redhat-operators-skqd4 down in Southbound
2024-10-24T13:10:36.910222801Z 2024-10-24T13:10:36.910Z|00246|binding|INFO|Releasing lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd from this chassis (sb_readonly=1)
2024-10-24T13:10:36.912301280Z 2024-10-24T13:10:36.912Z|00247|if_status|INFO|Not setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd down as sb is readonly
2024-10-24T13:10:36.913144220Z 2024-10-24T13:10:36.913Z|00248|binding|INFO|Releasing lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn from this chassis (sb_readonly=0)
2024-10-24T13:10:36.913210970Z 2024-10-24T13:10:36.913Z|00249|binding|INFO|Setting lport openshift-route-controller-manager_route-controller-manager-dc88f967c-cfpfn down in Southbound
2024-10-24T13:10:36.914092780Z 2024-10-24T13:10:36.914Z|00250|binding|INFO|Setting lport openshift-controller-manager_controller-manager-6b59c47496-mgxqd down in Southbound
2024-10-24T13:10:37.168335817Z 2024-10-24T13:10:37.168Z|00251|binding|INFO|Claiming lport openshift-oauth-apiserver_apiserver-dcf867d89-xktv2 for this chassis.
2024-10-24T13:10:37.168409297Z 2024-10-24T13:10:37.168Z|00252|binding|INFO|openshift-oauth-apiserver_apiserver-dcf867d89-xktv2: Claiming 0a:58:0a:81:00:23 10.129.0.35
2024-10-24T13:10:37.258225396Z 2024-10-24T13:10:37.257Z|00253|binding|INFO|Setting lport openshift-oauth-apiserver_apiserver-dcf867d89-xktv2 ovn-installed in OVS
2024-10-24T13:10:37.258225396Z 2024-10-24T13:10:37.257Z|00254|binding|INFO|Setting lport openshift-oauth-apiserver_apiserver-dcf867d89-xktv2 up in Southbound
2024-10-24T13:10:37.360478443Z 2024-10-24T13:10:37.360Z|00255|binding|INFO|Claiming lport openshift-marketplace_redhat-operators-9ll4n for this chassis.
2024-10-24T13:10:37.360478443Z 2024-10-24T13:10:37.360Z|00256|binding|INFO|openshift-marketplace_redhat-operators-9ll4n: Claiming 0a:58:0a:81:00:22 10.129.0.34
2024-10-24T13:10:37.441651182Z 2024-10-24T13:10:37.441Z|00257|binding|INFO|Setting lport openshift-marketplace_redhat-operators-9ll4n ovn-installed in OVS
